,TCKR,revenue_growth
0,MKDTY,-0.671
1,INDO,1.206
2,MNPR,
3,OCFT,0.004
4,SPT,0.33
5,BILL,0.943
6,EH,0.202
7,XP,0.119
8,LMPX,9.577
9,PINE,0.411
10,CAN,0.528
11,SITM,0.16
12,YAYO,0.085
13,ETNB,
14,CNSP,
15,KRKR,0.134
16,MOHOY,-0.641
17,TELA,0.458
18,CNTG,0.035
19,GRTX,
20,SI,0.74
21,FLJ,-0.408
22,DUO,-0.82
23,OYST,-0.688
24,RAPT,
25,AIH,4.128
26,CABA,
27,DAO,-0.261
28,HAPP,-0.141
29,PGNY,0.679
30,PHAT,
31,TFFP,14.137
32,BRP,0.913
33,BRBR,0.082
34,IPHA,2.425
35,HBT,0.109
36,VIR,2.615
37,BNTX,-0.431
38,APRE,
39,FREQ,
40,MCBS,0.045
41,OPRT,0.504
42,PTON,-0.234
43,DDOG,0.614
44,PING,
45,XGN,-0.298
46,IGMS,
47,NVST,0.039
48,ALRS,-0.065
49,NET,0.473
50,STSA,
51,SWTX,
52,SDC,-0.225
53,TXG,0.046
54,CFB,-0.011
55,JFU,-0.096
56,BTOG,
57,INMD,0.287
58,AMTD,-0.409
59,DT,0.234
60,KRUS,0.504
61,SNDL,23.445
62,BORR,0.922
63,BHAT,
64,VIST,0.906
65,CSTL,0.577
66,HCAT,0.107
67,NOVA,1.168
68,EIC,0.711
69,AFYA,0.606
70,IFS,0.161
71,AMK,0.107
72,CPAA,
73,FULC,-0.76
74,IHRT,0.066
75,MIRM,2.756
76,ORCC,0.167
77,PHR,0.331
78,DOYU,-0.215
79,THCA,
80,RMBI,0.049
81,KRTX,
82,REAL,0.201
83,ADPT,0.212
84,BBIO,-0.856
85,CHNG,
86,MORF,-0.342
87,CMBM,0.07
88,AKRO,
89,BCEL,
90,GO,0.194
91,PSNL,-0.333
92,STOK,
93,CHWY,0.128
94,FVRR,0.111
95,CRWD,0.585
96,RVLV,0.101
97,GOTU,-0.759
98,BCYC,-0.298
99,IDYA,2.309
100,RTLR,
101,AVTR,0.012
102,FSLY,0.251
103,LKNCY,0.724
104,PSTL,0.308
105,AGBA,
106,APLT,
107,JFIN,0.649
108,SONM,0.0
109,UBER,0.722
110,AXLA,
111,HHR,0.011
112,MEC,0.25
113,NXTC,
114,QNCX,
115,SPFI,-0.003
116,PSN,0.187
117,LCA,
118,TRVI,
119,TBBA,-0.388
120,ATIF,
121,RRBI,0.159
122,SCPL,0.165
123,YJ,-0.502
124,BYND,-0.225
125,SY,-0.316
126,TMDX,3.783
127,WAFU,0.346
128,GNLN,0.15
129,HOOK,-0.489
130,MNRL,1.245
131,PINS,0.082
132,ZM,0.076
133,BWAY,0.143
134,PLMR,0.193
135,JMIA,0.425
136,PD,0.336
137,GHSI,1.676
138,NGM,-0.574
139,SILK,0.513
140,TW,0.084
141,PBTS,-0.485
142,LYFT,0.219
143,PUYI,
144,DTIL,-0.694
145,WTRE,
146,GNFT,2.731
147,LEVI,0.013
148,TIGR,-0.098
149,FUTU,0.149
150,SWAV,1.016
151,KLDO,1.025
152,SLGG,2.947
153,AREC,40.197
154,HOTH,
155,MITO,
156,AVDR,
157,TCRR,
158,BACK,0.452
159,GOSS,
160,HARP,0.422
161,ALEC,-0.919
162,INMB,
163,NFE,1.402
164,RBKB,-0.056
165,BCOW,0.211
166,MDJH,-0.83
167,MTC,0.446
168,SXTC,0.717
169,MRM,0.569
170,VTAQ,
171,CFIV,
172,GBS,
173,HCAR,
174,IKT,-0.995
175,VHAQ,
176,VII,
177,DUNE,
178,GFX,
179,IIII,
180,MASS,0.342
181,MTAC,
182,COOL,
183,MDWT,
184,SCOA,
185,VIRI,
186,BCAB,
187,CCV,
188,SCPS,
189,UPST,-0.299
190,WISH,-0.796
191,ATA,
192,KINZ,
193,OCG,-0.123
194,WNW,-0.751
195,ABCL,0.661
196,CERT,0.145
197,DWIN,
198,EDTX,
199,FDMT,-0.989
200,NBTX,0.008
201,ROCC,1.171
202,SNRH,
203,VVOS,0.003
204,ABNB,0.289
205,CTAQ,
206,HYFM,-0.401
207,PCPC,
208,AI,0.246
209,ALTU,
210,DASH,0.301
211,FLAC,
212,HMCO,
213,PUBM,0.11
214,CND,
215,MUDS,
216,FTCV,
217,PTIC,
218,SBTX,
219,SEER,0.835
220,SGTX,1.184
221,YQ,-0.801
222,DCBO,0.363
223,FPAC,
224,HTPA,
225,KNTE,
226,OZON,0.581
227,TINV,
228,VMAR,1.614
229,BREZ,
230,ARBG,
231,KWAC,
232,MRVI,0.115
233,SHC,0.058
234,JYAC,
235,NGMS,4.193
236,OLMA,
237,TLS,0.04
238,YSG,-0.376
239,PHIC,
240,PIPP,
241,BWAC,
242,HAAC,
243,NOAC,
244,ADOC,
245,AVIR,
246,BHSE,
247,CONX,
248,JUPW,4.042
249,LU,0.031
250,SQZ,-0.292
251,ALGM,0.228
252,GLTO,
253,LESL,0.129
254,ABST,0.653
