IPO Date,Symbol,Company Name
12/30/2019,MKDTY,Molecular Data Inc.
12/19/2019,INDO,Indonesia Energy Corporation Limited
12/19/2019,MNPR,"Monopar Therapeutics, Inc."
12/13/2019,=CIIC,CIIG Merger
12/13/2019,=HCCO,Healthcare Merger Corp
12/13/2019,OCFT,OneConnect Financial Technology Co. Ltd.
12/13/2019,SPT,"Sprout Social, Inc."
12/12/2019,BILL,"Bill.com Holdings, Inc."
12/12/2019,EH,EHang Holdings Limited
12/11/2019,=LIVK,LIV Capital Acquisition Corp.
12/11/2019,XP,XP Inc.
12/05/2019,LMPX,"LMP Automotive Holdings, Inc."
11/26/2019,=ALUS,Alussa Energy Acquisition Corp.
11/22/2019,=CHPM,CHP Merger Corp.
11/22/2019,PINE,"Alpine Income Property Trust, Inc."
11/22/2019,=PTAC,PropTech Acquisition Corp.
11/21/2019,CAN,Canaan Inc.
11/21/2019,=GRNV,Greenvision Acquisition Corp.
11/21/2019,SITM,SiTime Corporation
11/20/2019,=AMHC,Amplitude Healthcare Acquisition Corp.
11/20/2019,=SAQN,Software Acquisition Group
11/13/2019,YAYO,"EVmo, Inc."
11/11/2019,ETNB,"89bio, Inc."
11/08/2019,CNSP,"CNS Pharmaceuticals, Inc."
11/08/2019,=JIH,"Juniper Industrial Holdings, Inc."
11/08/2019,KRKR,36Kr Holdings Inc.
11/08/2019,MOHOY,ECMOHO Limited
11/08/2019,=SRAC,Stable Road Acquisition Corp.
11/08/2019,TELA,"TELA Bio, Inc."
11/07/2019,CNTG,Centogene N.V.
11/07/2019,=DFNS,LGL Systems Acquisition
11/07/2019,GRTX,"Galera Therapeutics, Inc."
11/07/2019,SI,Silvergate Capital Corporation
11/05/2019,FLJ,FLJ Group Limited
11/05/2019,=MCMJ,Merida Merger Corp. I
11/01/2019,DUO,Fangdd Network Group Ltd.
11/01/2019,=FSRV,Finserv Acquisition Corp
11/01/2019,=SFTW,Osprey Technology Acquisition Corp.
10/31/2019,OYST,"Oyster Point Pharma, Inc."
10/31/2019,RAPT,"Rapt Therapeutics, Inc."
10/25/2019,AIH,Aesthetic Medical International Holdings Group Ltd.
10/25/2019,CABA,"Cabaletta Bio, Inc."
10/25/2019,DAO,"Youdao, Inc."
10/25/2019,HAPP,Happiness Biotech Group Ltd.
10/25/2019,PGNY,"Progyny, Inc."
10/25/2019,PHAT,"Phathom Pharmaceuticals, Inc."
10/25/2019,TFFP,"TFF Pharmaceuticals, Inc."
10/24/2019,BRP,"BRP Group, Inc."
10/18/2019,=GLEO,Galileo Acquisition Corp.
10/18/2019,=LATN,Union Acquisition Corp. II
10/17/2019,BRBR,"Bellring Brands, Inc."
10/17/2019,IPHA,Innate Pharma S.A.
10/11/2019,HBT,"HBT Financial, Inc."
10/11/2019,VIR,"Vir Biotechnology, Inc."
10/10/2019,BNTX,BioNTech SE
10/03/2019,APRE,"Aprea Therapeutics, Inc."
10/03/2019,FREQ,"Frequency Therapeutics, Inc."
10/03/2019,MCBS,"MetroCity Bankshares, Inc."
10/03/2019,=VIE,Viela Bio
09/26/2019,OPRT,Oportun Financial Corporation
09/26/2019,PTON,"Peloton Interactive, Inc."
09/19/2019,DDOG,"Datadog, Inc."
09/19/2019,PING,Ping Identity Holding Corp.
09/19/2019,XGN,Exagen Inc.
09/18/2019,IGMS,"IGM Biosciences, Inc."
09/18/2019,NVST,Envista Holdings Corporation
09/17/2019,=APXT,Apex Technology Acquisition Corp.
09/13/2019,ALRS,Alerus Financial Corporation
09/13/2019,=EXPC,Experience Investment Corp.
09/13/2019,NET,"Cloudflare, Inc."
09/13/2019,STSA,"Satsuma Pharmaceuticals, Inc."
09/13/2019,SWTX,"Springworks Therapeutics, Inc."
09/12/2019,SDC,"SmileDirectClub, Inc."
09/12/2019,TXG,"10X Genomics, Inc."
09/11/2019,=SONG,Akazoo S.A.
09/09/2019,=NPA,New Providence Acquisition Corp.
08/15/2019,CFB,"CrossFirst Bankshares, Inc."
08/15/2019,JFU,9F Inc.
08/14/2019,BTOG,"China Xiangtai Food Co., Ltd."
08/09/2019,=THBR,Thunder Bridge Acquisition II Ltd.
08/08/2019,INMD,InMode Ltd.
08/08/2019,=SSPK,Silver Spike Acquisition Corp.
08/05/2019,AMTD,"AMTD International, Inc."
08/02/2019,=ORSN,Orisun Acquisition
08/01/2019,DT,"Dynatrace, Inc."
08/01/2019,KRUS,"Kura Sushi USA, Inc."
08/01/2019,SNDL,Sundial Growers Inc.
07/31/2019,BORR,Borr Drilling Limited
07/31/2019,=NFIN,Netfin Acquisition
07/26/2019,BHAT,Blue Hat Interactive Entertainment Technology
07/26/2019,=CCX,Churchill Capital Corp II
07/26/2019,=SBE,Switchback Energy Acquisition Corporation
07/26/2019,VIST,Vista Oil & Gas SAB de CV
07/26/2019,=WSG,Wanda Sports Group Co. Ltd.
07/25/2019,CSTL,"Castle Biosciences, Inc."
07/25/2019,=FLLC,"Fellazo, Inc."
07/25/2019,HCAT,"Health Catalyst, Inc."
07/25/2019,=LVGO,Livongo Health
07/25/2019,NOVA,"Sunnova Energy International, Inc."
07/25/2019,=PROS,"ProSight Global, Inc."
07/24/2019,EIC,"Eagle Point Income Company, Inc."
07/19/2019,AFYA,Afya Limited
07/19/2019,IFS,Intercorp Financial Services Inc.
07/19/2019,=MDLA,"Medallia, Inc."
07/18/2019,AMK,"AssetMark Financial Holdings, Inc."
07/18/2019,=CPAA,Conyers Park II Acquisition Corp.
07/18/2019,FULC,"Fulcrum Therapeutics, Inc."
07/18/2019,IHRT,"iHeartMedia, Inc."
07/18/2019,MIRM,"Mirum Pharmaceuticals, Inc."
07/18/2019,=OAC,Oaktree Acquisition Corp.
07/18/2019,ORCC,Owl Rock Capital Corporation
07/18/2019,PHR,"Phreesia, Inc."
07/17/2019,DOYU,DouYu International Holdings Ltd.
07/12/2019,=PIC,Pivotal Investment Corporation II
07/12/2019,=SCPE,SC Health Corporation
07/12/2019,THCA,Tuscan Holdings Corp. II
07/02/2019,RMBI,"Richmond Mutual Bancorporation, Inc."
06/28/2019,KRTX,"Karuna Therapeutics, Inc."
06/28/2019,REAL,"The RealReal, Inc."
06/27/2019,ADPT,Adaptive Biotechnologies Corporation
06/27/2019,BBIO,"BridgeBio Pharma, Inc."
06/27/2019,=CHNG,"Change Healthcare, Inc."
06/27/2019,MORF,"Morphic Holding, Inc."
06/26/2019,CMBM,Cambium Networks Corporation
06/26/2019,=LINX,Linx S.A.
06/20/2019,AKRO,"Akero Therapeutics, Inc."
06/20/2019,BCEL,"Atreca, Inc."
06/20/2019,GO,Grocery Outlet Holding Corporation
06/20/2019,=PRVL,Prevail Therapeutics Inc.
06/20/2019,PSNL,"Personalis, Inc."
06/20/2019,=SMMC,South Mountain Merger Corp.
06/20/2019,=WORK,"Slack Technologies, Inc."
06/19/2019,STOK,"Stoke Therapeutics, Inc."
06/14/2019,CHWY,"Chewy, Inc."
06/13/2019,FVRR,Fiverr International Ltd.
06/12/2019,CRWD,"CrowdStrike Holdings, Inc."
06/12/2019,=MWK,"Mohawk Group Holdings, Inc."
06/07/2019,=HYAC,Haymaker Acquisition Corp. II
06/07/2019,RVLV,"Revolve Group, Inc."
06/06/2019,=GIX,"GigCapital2, Inc."
06/06/2019,GOTU,"Gaotu Techedu, Inc."
05/23/2019,BCYC,Bicycle Therapeutics PLC
05/23/2019,IDYA,"IDEAYA Biosciences, Inc."
05/23/2019,=RTLR,Rattler Midstream LP
05/21/2019,=GXGX,GX Acquisition Corp.
05/17/2019,AVTR,"Avantor, Inc."
05/17/2019,FSLY,"Fastly, Inc."
